ticker,call_date,transcript
AAPL,2024-02-01,"Apple reported record revenue driven by strong iPhone 15 sales and services growth. Management expressed confidence in continued momentum and raised guidance for the upcoming quarter. We are extremely pleased with our performance and see significant opportunities ahead."
MSFT,2024-01-31,"Microsoft delivered exceptional cloud growth with Azure revenue up 28%. AI integration across products is accelerating adoption. The company raised its full-year outlook citing strong enterprise demand and productivity suite expansion."
META,2024-02-01,"Meta posted strong advertising revenue recovery with operating margins expanding significantly. Reels monetization is ahead of expectations. Management highlighted efficiency gains from the year of efficiency and reiterated commitment to AI investment."
AMZN,2024-02-01,"Amazon Web Services returned to accelerating growth at 13% year-over-year. Retail profitability improved dramatically. Management expressed optimism about AI workload migrations to AWS and the positive impact on long-term margins."
GOOGL,2024-01-30,"Alphabet reported disappointing ad revenue below expectations. YouTube growth slowed and cloud missed consensus estimates. Management acknowledged competitive pressure and noted ongoing investment requirements in AI infrastructure."
JPM,2024-01-12,"JPMorgan Chase delivered record full-year profit. Net interest income came in above guidance. Credit quality remains strong with reserves deemed adequate. Management expressed cautious optimism about the economic outlook but flagged uncertainty around rate trajectory."
XOM,2024-02-02,"ExxonMobil reported lower earnings due to declining refining margins and weaker oil prices. Production volumes met targets. The company maintained its dividend commitment and highlighted its Pioneer acquisition integration as progressing well."
NVDA,2024-02-21,"NVIDIA reported extraordinary results with data center revenue tripling year over year. Demand for H100 GPUs continues to outstrip supply. Management provided guidance far above consensus driven by AI infrastructure buildout across hyperscalers."
TSLA,2024-01-24,"Tesla missed earnings estimates due to aggressive price cuts compressing margins. Volume growth slowed. Management warned of notably lower growth in 2024 while highlighting longer-term potential from Full Self Driving and energy storage."
JNJ,2024-01-23,"Johnson and Johnson delivered steady results in line with expectations. Pharmaceutical pipeline progress was highlighted. Management reaffirmed guidance and expressed confidence in the MedTech recovery trajectory despite cautious consumer spending."
